3528-9470-0050-0000,8888500000,Female,21-03-1975,Private Employee,Surabaya,181200,Indonesia,Married,4988300,14-07-2016
3528-9470-0050-0001,8888500001,Male,14-05-1977,Housewife,Purwokerto,175800,Indonesia,Single,4039600,27-06-2012
3528-9470-0050-0002,8888500002,Male,13-03-1974,Housewife,Jakarta,217400,Indonesia,Married,6337000,28-08-2013
3528-9470-0050-0003,8888500003,Male,07-04-1967,Housewife,Semarang,366800,Indonesia,Married,9403100,08-02-2015
3528-9470-0050-0004,8888500004,Male,28-11-1981,Housewife,Palembang,446700,Indonesia,Divorced,2393100,11-02-2005
3528-9470-0050-0005,8888500005,Female,07-09-1986,Self Employee,Surabaya,172600,Indonesia,Married,15670600,31-01-2008
3528-9470-0050-0006,8888500006,Male,30-07-1950,Civil Servant,Yogyakarta,447600,Indonesia,Single,2658000,17-08-2010
3528-9470-0050-0007,8888500007,Female,22-11-1993,Professional,Banjar,814600,Malaysia,Single,7549100,03-02-2016
3528-9470-0050-0008,8888500008,Female,07-10-1954,Civil Servant,Medan,688000,Indonesia,Married,13377800,06-05-2010
3528-9470-0050-0009,8888500009,Female,03-04-1977,Civil Servant,Medan,495200,Indonesia,Single,9198800,19-11-2013
3528-9470-0050-0010,8888500010,Male,23-06-1983,Civil Servant,Semarang,541200,Thailand,Married,4376800,30-08-2003
3528-9470-0050-0011,8888500011,Male,08-03-1990,Professional,Palembang,750500,China,Married,3232200,10-05-2016
3528-9470-0050-0012,8888500012,Female,29-08-1978,Self Employee,Bandung,430300,Indonesia,Married,9559400,25-01-2011
3528-9470-0050-0013,8888500013,Female,07-09-1953,Private Employee,Medan,417700,Indonesia,Single,18710500,25-06-2010
3528-9470-0050-0014,8888500014,Male,27-07-1958,Professional,Tasik,325200,UK,Married,5422500,21-03-2001
3528-9470-0050-0015,8888500015,Female,30-08-1987,Private Employee,Semarang,543100,Indonesia,Married,11102800,18-09-2007
3528-9470-0050-0016,8888500016,Female,24-11-1982,Housewife,Bandung,618400,Indonesia,Married,14675100,14-07-2016
3528-9470-0050-0017,8888500017,Male,08-06-1962,Civil Servant,Palembang,556000,Indonesia,Married,16931500,12-09-2013
3528-9470-0050-0018,8888500018,Female,10-06-1960,Civil Servant,Medan,402800,Malaysia,Married,12805300,14-09-2013
3528-9470-0050-0019,8888500019,Male,25-02-1957,Housewife,Bandung,633400,Indonesia,Married,6567500,24-05-2002
3528-9470-0050-0020,8888500020,Male,26-11-1981,Civil Servant,Semarang,379000,Indonesia,Married,18191700,20-07-2016
3528-9470-0050-0021,8888500021,Female,20-04-1957,Professional,Medan,579600,Indonesia,Married,3398900,20-06-2012
3528-9470-0050-0022,8888500022,Male,22-08-1958,Others,Yogyakarta,215000,Indonesia,Divorced,10100800,20-01-2017
3528-9470-0050-0023,8888500023,Male,30-08-1987,Professional,Yogyakarta,147400,Indonesia,Married,16337200,05-09-2017
3528-9470-0050-0024,8888500024,Male,11-02-1986,Civil Servant,Semarang,383700,Indonesia,Married,7664800,27-01-2016
3528-9470-0050-0025,8888500025,Male,05-12-1998,Civil Servant,Padang,324400,Indonesia,Divorced,2383700,04-10-2015
3528-9470-0050-0026,8888500026,Male,16-04-1980,Housewife,Yogyakarta,304100,Indonesia,Married,1684300,22-10-2014
3528-9470-0050-0027,8888500027,Male,25-11-1956,Civil Servant,Banjar,509400,Indonesia,Married,4722900,22-07-2006
3528-9470-0050-0028,8888500028,Male,08-07-1982,Housewife,Banjar,810700,Indonesia,Married,5848200,06-10-2015
3528-9470-0050-0029,8888500029,Male,19-05-1966,Civil Servant,Medan,305400,Indonesia,Married,8561600,08-05-2014
3528-9470-0050-0030,8888500030,Female,23-01-1988,Housewife,Medan,775300,Indonesia,Divorced,4715600,25-02-2008
3528-9470-0050-0031,8888500031,Female,24-02-1959,Self Employee,Palembang,453100,Indonesia,Single,11683400,22-12-2004
3528-9470-0050-0032,8888500032,Male,03-12-1969,Housewife,Bandung,307800,Indonesia,Married,17553500,12-09-2014
3528-9470-0050-0033,8888500033,Female,13-07-1970,Self Employee,Medan,829000,Indonesia,Married,13435900,18-07-2004
3528-9470-0050-0034,8888500034,Female,06-03-1951,Housewife,Padang,759700,Indonesia,Married,7872900,21-02-2009
3528-9470-0050-0035,8888500035,Male,02-06-1977,Professional,Medan,835400,Indonesia,Married,10621600,01-10-2011
3528-9470-0050-0036,8888500036,Female,16-08-1954,Housewife,Yogyakarta,755200,Indonesia,Married,19259000,18-01-2002
3528-9470-0050-0037,8888500037,Female,10-06-1992,Housewife,Medan,505100,USA,Married,17508700,11-06-2011
3528-9470-0050-0038,8888500038,Male,06-05-1989,Housewife,Purwokerto,476600,Indonesia,Divorced,10837100,02-09-2002
3528-9470-0050-0039,8888500039,Male,19-09-1996,Civil Servant,Tasik,847900,Indonesia,Married,17931900,18-08-2015
3528-9470-0050-0040,8888500040,Male,14-02-1978,Housewife,Palembang,227100,Indonesia,Single,10469600,03-10-2007
3528-9470-0050-0041,8888500041,Female,16-10-1959,Professional,Padang,560600,Indonesia,Married,9202900,09-11-2002
3528-9470-0050-0042,8888500042,Female,24-04-1965,Housewife,Tasik,296400,Indonesia,Married,11526700,02-11-2016
3528-9470-0050-0043,8888500043,Male,03-11-1995,Civil Servant,Semarang,830300,USA,Married,17296500,21-11-2004
